run_id,extension_id,country_id,policy_id,policy_variant_id,scenario_id,regime_id,baseline_gmi_version,v_baseline,cost_gross_gdp_baseline,crosses_v1_baseline,crosses_v1_10_baseline,debt_guardrail_pass_baseline,baseline_cell_result_class,baseline_country_policy_result_class,historical_tax_class_baseline,historical_tax_borderline_baseline,historical_total_revenue_class_baseline,historical_total_revenue_borderline_baseline,policy_rank_baseline,primary_five_policy_rank_baseline,v_micro,cost_gross_gdp_micro,crosses_v1_micro,crosses_v1_10_micro,debt_guardrail_pass_micro,micro_cell_result_class,micro_country_policy_result_class,historical_tax_class_micro,historical_tax_borderline_micro,historical_total_revenue_class_micro,historical_total_revenue_borderline_micro,policy_rank_micro,primary_five_policy_rank_micro,micro_gmi_version,delta_v,class_changed_flag,country_policy_class_changed_flag,policy_rank_changed_flag,primary_five_policy_rank_changed_flag,crosses_v1_changed_flag,crosses_v1_10_changed_flag,debt_guardrail_changed_flag,run_type,extension_type,parameter_set_id,baseline_parameter_set_id,baseline_dataset_version,extension_input_snapshot_id
official_4c_gmimicro_per_pip_line_correction_baseline_official_v3,GMI_MICRODATA_STRONG_PER_PIP_LINE_CORRECTION_2026_07_10,PER,GMI,GMI:GMI_ideal_aggregate,high,r0,GMI_ideal_aggregate,-0.0625178795043044,0.0278720820620802,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,-0.06775801836270992,0.025716564769700963,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,GMI_ideal_microdata_income_pip_ppp_8_30_line,-0.005240138858405519,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-per-v2,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-per-v1
official_4c_gmimicro_per_pip_line_correction_baseline_official_v3,GMI_MICRODATA_STRONG_PER_PIP_LINE_CORRECTION_2026_07_10,PER,GMI,GMI:GMI_loaded_aggregate,high,r0,GMI_loaded_aggregate,-0.0416785863362029,0.0418081230931203,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,5,,-0.045172012241806614,0.038574847154551443,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,5,,GMI_loaded_microdata_income_pip_ppp_8_30_line,-0.0034934259056037115,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-per-v2,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-per-v1
official_4c_gmimicro_per_pip_line_correction_baseline_official_v3,GMI_MICRODATA_STRONG_PER_PIP_LINE_CORRECTION_2026_07_10,PER,GMI,GMI:GMI_ideal_aggregate,high,r1,GMI_ideal_aggregate,-0.0569570640126876,0.0278720820620802,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,-0.06173110508317891,0.025716564769700963,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,GMI_ideal_microdata_income_pip_ppp_8_30_line,-0.004774041070491307,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-per-v2,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-per-v1
official_4c_gmimicro_per_pip_line_correction_baseline_official_v3,GMI_MICRODATA_STRONG_PER_PIP_LINE_CORRECTION_2026_07_10,PER,GMI,GMI:GMI_loaded_aggregate,high,r1,GMI_loaded_aggregate,-0.0379713760084584,0.0418081230931203,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,5,,-0.04115407005545261,0.038574847154551443,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,5,,GMI_loaded_microdata_income_pip_ppp_8_30_line,-0.003182694046994207,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-per-v2,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-per-v1
official_4c_gmimicro_per_pip_line_correction_baseline_official_v3,GMI_MICRODATA_STRONG_PER_PIP_LINE_CORRECTION_2026_07_10,PER,GMI,GMI:GMI_ideal_aggregate,high,r2,GMI_ideal_aggregate,-0.0536095321339181,0.0278720820620802,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,-0.05810298896168113,0.025716564769700963,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,GMI_ideal_microdata_income_pip_ppp_8_30_line,-0.004493456827763032,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-per-v2,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-per-v1
official_4c_gmimicro_per_pip_line_correction_baseline_official_v3,GMI_MICRODATA_STRONG_PER_PIP_LINE_CORRECTION_2026_07_10,PER,GMI,GMI:GMI_loaded_aggregate,high,r2,GMI_loaded_aggregate,-0.0357396880892787,0.0418081230931203,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,5,,-0.03873532597445409,0.038574847154551443,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,5,,GMI_loaded_microdata_income_pip_ppp_8_30_line,-0.0029956378851753868,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-per-v2,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-per-v1
official_4c_gmimicro_per_pip_line_correction_baseline_official_v3,GMI_MICRODATA_STRONG_PER_PIP_LINE_CORRECTION_2026_07_10,PER,GMI,GMI:GMI_ideal_aggregate,high,r3,GMI_ideal_aggregate,-0.0619222259189265,0.0278720820620802,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,-0.06711243813996622,0.025716564769700963,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,GMI_ideal_microdata_income_pip_ppp_8_30_line,-0.005190212221039714,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-per-v2,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-per-v1
official_4c_gmimicro_per_pip_line_correction_baseline_official_v3,GMI_MICRODATA_STRONG_PER_PIP_LINE_CORRECTION_2026_07_10,PER,GMI,GMI:GMI_loaded_aggregate,high,r3,GMI_loaded_aggregate,-0.041281483945951,0.0418081230931203,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,5,,-0.044741625426644144,0.038574847154551443,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,5,,GMI_loaded_microdata_income_pip_ppp_8_30_line,-0.003460141480693145,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-per-v2,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-per-v1
official_4c_gmimicro_per_pip_line_correction_baseline_official_v3,GMI_MICRODATA_STRONG_PER_PIP_LINE_CORRECTION_2026_07_10,PER,GMI,GMI:GMI_ideal_aggregate,high,r4,GMI_ideal_aggregate,-0.0412896275273874,0.0278720820620802,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,-0.04475045158877379,0.025716564769700963,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,6,5.0,GMI_ideal_microdata_income_pip_ppp_8_30_line,-0.0034608240613863903,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-per-v2,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-per-v1
official_4c_gmimicro_per_pip_line_correction_baseline_official_v3,GMI_MICRODATA_STRONG_PER_PIP_LINE_CORRECTION_2026_07_10,PER,GMI,GMI:GMI_loaded_aggregate,high,r4,GMI_loaded_aggregate,-0.0275264183515916,0.0418081230931203,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,5,,-0.029833634392515865,0.038574847154551443,False,False,False,not_feasible,not_feasible,fiscally_ordinary,False,fiscally_ordinary,False,5,,GMI_loaded_microdata_income_pip_ppp_8_30_line,-0.002307216040924265,False,False,False,False,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-gmimicro-per-v2,baseline-official-v3,v1.0.1-official-4c,robustness-gmimicro-per-v1
